Specific_ID,Card Type,Card_Name,Set_Name,Generation,Release_Date,Artist,Types,Supertype,Price £
001 Of 102,1St Edition,Alakazam,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,27.95
001 Of 102,Uk Print,Alakazam,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,14.95
001 Of 102,Shadowless,Alakazam,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,7.95
001 Of 102,Unlimited,Alakazam,Base,First,1/9/1999,Ken Sugimori,['Psychic'],Pokemon,1.95
002 Of 102,1St Edition,Blastoise,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,119.95
002 Of 102,Uk Print,Blastoise,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,36.95
002 Of 102,Shadowless,Blastoise,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,9.95
002 Of 102,Unlimited,Blastoise,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,8.95
002 Of 102,Standard,Blastoise,Base,First,1/9/1999,Ken Sugimori,['Water'],Pokemon,19.75
003 Of 102,1St Edition,Chansey,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,19.95
003 Of 102,Uk Print,Chansey,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,9.95
003 Of 102,Shadowless,Chansey,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,8.95
003 Of 102,Unlimited,Chansey,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,1.95
004 Of 102,1St Edition,Charizard,Base,First,1/9/1999,Mitsuhiro Arita,['Fire'],Pokemon,599.95
004 Of 102,Uk Print,Charizard,Base,First,1/9/1999,Mitsuhiro Arita,['Fire'],Pokemon,84.95
004 Of 102,Shadowless,Charizard,Base,First,1/9/1999,Mitsuhiro Arita,['Fire'],Pokemon,59.95
004 Of 102,Unlimited,Charizard,Base,First,1/9/1999,Mitsuhiro Arita,['Fire'],Pokemon,9.95
004 Of 102,Standard,Charizard,Base,First,1/9/1999,Mitsuhiro Arita,['Fire'],Pokemon,99.99
005 Of 102,Shadowless,Clefairy,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,89.99
005 Of 102,1St Edition,Clefairy,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,19.95
005 Of 102,Uk Print,Clefairy,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,10.29
005 Of 102,Unlimited,Clefairy,Base,First,1/9/1999,Ken Sugimori,['Colorless'],Pokemon,0.95
006 Of 102,Shadowless,Gyarados,Base,First,1/9/1999,Mitsuhiro Arita,['Water'],Pokemon,149.99
006 Of 102,1St Edition,Gyarados,Base,First,1/9/1999,Mitsuhiro Arita,['Water'],Pokemon,29.95
006 Of 102,Uk Print,Gyarados,Base,First,1/9/1999,Mitsuhiro Arita,['Water'],Pokemon,8.45
006 Of 102,Unlimited,Gyarados,Base,First,1/9/1999,Mitsuhiro Arita,['Water'],Pokemon,0.2
007 Of 102,1St Edition,Hitmonchan,Base,First,1/9/1999,Ken Sugimori,['Fighting'],Pokemon,24.95
007 Of 102,Uk Print,Hitmonchan,Base,First,1/9/1999,Ken Sugimori,['Fighting'],Pokemon,7.25
007 Of 102,Shadowless,Hitmonchan,Base,First,1/9/1999,Ken Sugimori,['Fighting'],Pokemon,4.95
007 Of 102,Unlimited,Hitmonchan,Base,First,1/9/1999,Ken Sugimori,['Fighting'],Pokemon,0.2
008 Of 102,Uk Print,Machamp,Base,First,1/9/1999,Ken Sugimori,['Fighting'],Pokemon,23.99
008 Of 102,Cosmic Foil,Machamp,Base,First,1/9/1999,Ken Sugimori,['Fighting'],Pokemon,2.5
008 Of 102,1St Edition,Machamp,Base,First,1/9/1999,Ken Sugimori,['Fighting'],Pokemon,1.95
008 Of 102,Unlimited,Machamp,Base,First,1/9/1999,Ken Sugimori,['Fighting'],Pokemon,0.2
009 Of 102,1St Edition,Magneton,Base,First,1/9/1999,Keiji Kinebuchi,['Lightning'],Pokemon,24.95
